Row,Name,Size,Edges,MAX,MAX_COUNT,C,K,LB,Solution,Finished,Duration
1,Grid-9,81,144,4,49,6,6,7,--,true,4
2,Grid-9,81,144,4,49,7,7,8,--,true,97
3,Grid-9,81,144,4,49,8,8,9,--,true,536
4,Grid-9,81,144,4,49,9,9,10,--,true,1443
5,Grid-9,81,144,4,49,10,10,11,--,true,8178
6,Grid-9,81,144,4,49,11,11,12,--,true,117627
7,Grid-9,81,144,4,49,12,12,13,--,true,780507
8,Grid-9,81,144,4,49,13,13,13,--,false,3010095
9,Grid-9,81,144,4,49,14,14,13,--,false,3010110
10,Grid-9,81,144,4,49,15,15,13,--,false,3010081
11,Grid-9,81,144,4,49,16,16,13,--,false,3010111
12,Grid-9,81,144,4,49,17,17,13,--,false,3010106
13,Grid-9,81,144,4,49,18,18,12,--,false,3010099
14,Grid-9,81,144,4,49,19,19,12,19,false,3010077
15,Grid-9,81,144,4,49,20,20,12,19,false,3010077
16,Grid-9,81,144,4,49,21,21,12,17,false,3010075
17,Grid-9,81,144,4,49,22,22,11,16,false,3010071
18,Grid-9,81,144,4,49,23,23,12,17,false,3010066
19,Grid-9,81,144,4,49,24,24,11,16,false,3010076
20,Grid-9,81,144,4,49,25,25,11,15,false,3010081
21,Grid-9,81,144,4,49,26,26,11,16,false,3010064
22,Grid-9,81,144,4,49,27,27,10,16,false,3010061
23,Grid-9,81,144,4,49,28,28,10,16,false,3010071
24,Grid-9,81,144,4,49,29,29,10,16,false,3010061
25,Grid-9,81,144,4,49,30,30,10,15,false,3010071
